model,metric,log10_epsilon,Trotter_fit,MPF_fit,QSVT_fit
Heisenberg,cnot_count,-4.975,6879335.600152612,3076048897.596929,37038833.36774532
Heisenberg,cnot_count,-4.95,6781056.494363808,3049837924.7730737,37034526.162361905
Heisenberg,cnot_count,-4.925,6684181.479022843,3023773141.591191,37030216.6016089
Heisenberg,cnot_count,-4.9,6588690.493905736,2997854165.574031,37025904.68731335
Heisenberg,cnot_count,-4.875,6494563.765392828,2972080614.1057177,37021590.421653755
Heisenberg,cnot_count,-4.85,6401781.802374191,2946452104.431257,37017273.80717197
Heisenberg,cnot_count,-4.825,6310325.392213252,2920968253.6560454,37012954.84678825
Heisenberg,cnot_count,-4.8,6220175.596768171,2895628678.745438,37008633.54381653
Heisenberg,cnot_count,-4.775,6131313.74847003,2870432996.524251,37004309.90197841
Heisenberg,cnot_count,-4.75,6043721.446457179,2845380823.6763186,36999983.925420776
Heisenberg,cnot_count,-4.725,5957380.552764607,2820471776.7439384,36995655.61873184
Heisenberg,cnot_count,-4.7,5872273.18856793,2795705472.127473,36991324.986958005
Heisenberg,cnot_count,-4.675,5788381.730480959,2771081526.0847926,36986992.03562298
Heisenberg,cnot_count,-4.65,5705688.806906199,2746599554.730837,36982656.770745665
Heisenberg,cnot_count,-4.625,5624177.294437488,2722259174.037091,36978319.19885984
